T,time
8192,0.009918 
16384,0.019181 
32768,0.031023 
65536,0.061693 
131072,0.143443 
262144,0.267764 
524288,0.520029 
1048576,0.924785 
2097152,1.863144 
4194304,3.692659 
8388608,7.211748 
16777216,14.723661 
33554432,29.240913 
67108864,58.518276 
134217728,116.739781 
268435456,233.924046 
536870912,471.777655 
