T,time
8192,0.009910 
16384,0.018634 
32768,0.041009 
65536,0.076152 
131072,0.162734 
262144,0.318658 
524288,0.655665 
1048576,1.221254 
2097152,2.385017 
4194304,4.479829 
8388608,7.425175 
16777216,15.040953 
33554432,29.947930 
67108864,61.676189 
134217728,133.596128 
268435456,246.536687 
536870912,481.286944 
