T,time
8192,0.010688 
16384,0.015591 
32768,0.022835 
65536,0.032510 
131072,0.063976 
262144,0.082118 
524288,0.208050 
1048576,0.250937 
2097152,0.316601 
4194304,0.599767 
8388608,0.744036 
16777216,1.803500 
33554432,2.272061 
67108864,6.773932 
134217728,8.840801 
268435456,19.293730 
536870912,28.952692 
