T,time
8192,0.011340 
16384,0.014065 
32768,0.016703 
65536,0.025381 
131072,0.050533 
262144,0.061623 
524288,0.162676 
1048576,0.182419 
2097152,0.265329 
4194304,0.556204 
8388608,0.716657 
16777216,1.751735 
33554432,2.188879 
67108864,5.564456 
134217728,7.615142 
268435456,18.919611 
536870912,28.735232 
