sub_exponent, time
8192,11359.000000 
16384,23694.000000 
32768,42246.000000 
65536,73126.000000 
131072,125904.000000 
262144,249504.000000 
524288,514768.000000 
1048576,1193290.000000 
2097152,1960650.000000 
4194304,3920401.000000 
8388608,7866288.000000 
16777216,15332487.000000 
33554432,30037331.000000 
67108864,59679657.000000 
134217728,119707764.000000 
268435456,240826459.000000 
536870912,495299885.000000 
