T,time
8192,0.009340 
16384,0.017452 
32768,0.030869 
65536,0.060587 
131072,0.122776 
262144,0.241751 
524288,0.512522 
1048576,0.943695 
2097152,1.853424 
4194304,3.721692 
8388608,7.313602 
16777216,14.353249 
33554432,28.956326 
67108864,58.577938 
134217728,118.496775 
268435456,237.346076 
536870912,470.456105 
