T,time
8192,0.009237 
16384,0.017133 
32768,0.037172 
65536,0.066860 
131072,0.138182 
262144,0.264997 
524288,0.556020 
1048576,1.023682 
2097152,2.048077 
4194304,4.040689 
8388608,8.186506 
16777216,16.084930 
33554432,32.368860 
67108864,64.508835 
134217728,128.203019 
268435456,256.036826 
536870912,506.767112 
