T,time
8192,0.010483 
16384,0.013815 
32768,0.016601 
65536,0.024662 
131072,0.047750 
262144,0.061536 
524288,0.171589 
1048576,0.183464 
2097152,0.245228 
4194304,0.562964 
8388608,0.711708 
16777216,1.737080 
33554432,2.249544 
67108864,5.476624 
134217728,7.562754 
268435456,18.922031 
536870912,28.953088 
